#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Polish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Wyrób narzêdzi"
ADVANCE_QUANTUM_MECHANICS			"Fizyka kwantowa"
ADVANCE_CORPORATE_REPUBLIC			"Pañstwo korporacyjne"
ADVANCE_GLOBAL_ECONOMICS			"Globalna Ekonomia"
ADVANCE_COMPUTER				"Komputer"
ADVANCE_MASS_TRANSIT				"Transport publiczny"
ADVANCE_ADV_INFANTRY_TACTICS			"Zaawan. taktyka piechoty"
ADVANCE_ADV_URBAN_PLANNING			"In¿ynieria miejska"
ADVANCE_SUPERSONIC_FLIGHT			"Lot ponaddŸwiêkowy"
ADVANCE_CONSERVATION				"Ochrona przyrody"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"Technika rakietowa"
ADVANCE_GLOBAL_DEFENSE				"Globalna ochrona"
ADVANCE_NUCLEAR_POWER				"Energia j¹drowa"
ADVANCE_FUEL_CELLS				"Ogniwo paliwowe"
ADVANCE_ADVANCED_COMPOSITES			"Syntetyczne tworzywa"
ADVANCE_GLOBAL_COMMUNICATIONS			"Globalna komunikacja"
ADVANCE_ARCOLOGIES				"Ekologiczna architektura"
ADVANCE_LIQUID_BREATHING_APPARATUS		"Oddychanie p³ynem"
ADVANCE_SPACE_FLIGHT				"Loty kosmiczne"
ADVANCE_HT_SUPERCONDUCTOR			"Nadprzewodnik"
ADVANCE_ROBOTICS				"Robotyka"
ADVANCE_AI_SURVEILLANCE				"Sztuczna inteligencja"
ADVANCE_GENETICS				"Genetyka"
ADVANCE_TECHNOCRACY				"Technokracja"
ADVANCE_DIGITAL_ENCRYPTION			"Cyfrowe kodowanie"
ADVANCE_SUBNEURAL_ADS				"Subneural Ad"
ADVANCE_CHAOS_THEORY				"Teoria chaosu"
ADVANCE_NEURAL_INTERFACE			"Interfejs neuronowy"
ADVANCE_NANO_ASSEMBLY				"Nano-produkcja"
ADVANCE_EUGENICS				"Terapia genowa"
ADVANCE_UNIFIED_PHYSICS				"Zaawansowana fizyka"
ADVANCE_NANO_MACHINES				"Nano-maszyneria"
ADVANCE_HUMAN_CLONING				"Klonowanie ludzi"
ADVANCE_FUSION					"Zimna fuzja"
ADVANCE_ULTRAPRESSURE_MACHINERY			"Urz¹dzenia ciœnieniowe"
ADVANCE_CYBERNETICS				"Cybernetyka"
ADVANCE_NEURAL_REPROGRAMMING			"Manipulacja neuronowa"
ADVANCE_PLASMA_WEAPONRY				"Broñ plazmowa"
ADVANCE_VIRTUAL_DEMOCRACY			"Demokracja wirtualna"
ADVANCE_GENETIC_TAILORING			"Manipulacja genetyczna"
ADVANCE_NANO_WARFARE				"Nano-wojna"
ADVANCE_ECOTOPIA				"Utopia ekologiczna"
ADVANCE_GAIA_THEORY				"Teoria Gajañska"
ADVANCE_LIFE_EXTENSION				"Przed³u¿enie ¿ycia"
ADVANCE_SMART_MATERIALS				"Inteligentne materia³y"
ADVANCE_GAIA_CONTROLLER				"Kontroler Gajañski"


#### WONDER STRINGS ####
WONDER_PYRAMIDS					"Piramidy"
WONDER_RAMAYANA					"Ramajana"
WONDER_GREAT_WALL				"Wielki Mur"
WONDER_THE_APPIAN_WAY				"Droga Appijska"
WONDER_CHICHEN_ITZA				"Chichén Itzá"
WONDER_CENTRAL_MATTER_DECOMPILER		"Centralny Dezintegrator Materii"
WONDER_THE_FORBIDDEN_CITY			"Zakazane Miasto"
WONDER_ARISTOTLES_LYCEUM			"Likeion Arystotelesa"
WONDER_HAGIA_SOPHIA				"Hagia Sophia"
WONDER_GUTTENBERGS_BIBLE			"Biblia Gutenberga"
WONDER_EAST_INDIA_COMPANY			"Kompania Wschodnioindyjska"
WONDER_GALILEOS_TELESCOPE			"Teleskop Galileusza"
WONDER_EMANCIPATION_PROCLAMATION		"Akt Wyzwolenia"
WONDER_PENICILLIN				"Penicylina"
WONDER_LONDON_EXCHANGE				"Gie³da Londyñska"
WONDER_EMPIRE_STATE_BUILDING			"Empire State Building"
WONDER_HOLLYWOOD				"Hollywood"
WONDER_INTERNET					"Internet"
WONDER_THE_AGENCY				"Agencja"
WONDER_GLOBESAT					"Globalny Satelita"
WONDER_FIELD_DYNAMICS_LABORATORY		"Field Dynamics Lab"
WONDER_DATA_HAVEN				"Port Danych"
WONDER_GENOME_PROJECT				"Poznanie Ludzkiego Genomu"
WONDER_GLOBAL_SURVEILLANCE_CENTER		"Centrum Œwiatowego Pokoju"
WONDER_NANITE_DEFUSER				"Nanite Defuser"
WONDER_NATIONAL_SHIELD				"Narodowa Tarcza"
WONDER_EGALITARIAN_ACT				"Akt Równoœci"
WONDER_THE_EDEN_PROJECT				"Projekt Eden"
WONDER_THE_SOLARIS_PROJECT			"Projekt Solaris"
WONDER_ZERO_CRIME_BILL				"Program Zerowej Przestêpczoœci"

WONDER_PYRAMIDS_ARTICLE				""
WONDER_RAMAYANA_ARTICLE				""
WONDER_GREAT_WALL_ARTICLE			""
WONDER_THE_APPIAN_WAY_ARTICLE			""
WONDER_CHICHEN_ITZA_ARTICLE			""
WONDER_CENTRAL_MATTER_DECOMPILER_ARTICLE	""
WONDER_THE_FORBIDDEN_CITY_ARTICLE		""
WONDER_ARISTOTLES_LYCEUM_ARTICLE		""
WONDER_HAGIA_SOPHIA_ARTICLE			""
WONDER_GUTTENBERGS_BIBLE_ARTICLE		""
WONDER_EAST_INDIA_COMPANY_ARTICLE		""
WONDER_GALILEOS_TELESCOPE_ARTICLE		""
WONDER_EMANCIPATION_PROCLAMATION_ARTICLE	""
WONDER_PENICILLIN_ARTICLE			""
WONDER_LONDON_EXCHANGE_ARTICLE			""
WONDER_EMPIRE_STATE_BUILDING_ARTICLE		""
WONDER_HOLLYWOOD_ARTICLE			""
WONDER_INTERNET_ARTICLE				""
WONDER_THE_AGENCY_ARTICLE			""
WONDER_GLOBESAT_ARTICLE				""
WONDER_FIELD_DYNAMICS_LABORATORY_ARTICLE	""
WONDER_DATA_HAVEN_ARTICLE			""
WONDER_GENOME_PROJECT_ARTICLE			""
WONDER_GLOBAL_SURVEILLANCE_CENTER_ARTICLE	""
WONDER_NANITE_DEFUSER_ARTICLE			""
WONDER_NATIONAL_SHIELD_ARTICLE			""
WONDER_EGALITARIAN_ACT_ARTICLE			""
WONDER_THE_EDEN_PROJECT_ARTICLE			""
WONDER_THE_SOLARIS_PROJECT_ARTICLE		""
WONDER_ZERO_CRIME_BILL_ARTICLE			""


#### Units STRINGS ####
UNIT_SETTLER					"Osadnicy"
UNIT_WARRIOR					"Wojownicy"
UNIT_CATAMARAN					"Galera"
UNIT_HOPLITE					"Hoplita"
UNIT_ARCHER					"£ucznicy"
UNIT_SLAVER					"£owca niewolników"
UNIT_SWORDSMAN					"Samuraj"
UNIT_MOUNTED_ARCHER				"Konni ³ucznicy"
UNIT_CARAVAN					"Karawana"
UNIT_FIRE_TRIREME				"Trirema ogniowa"
UNIT_KNIGHT					"Rycerze"
UNIT_CATAPULT					"Katapulta"
UNIT_LONGSHIP					"Drakkar"
UNIT_DIPLOMAT					"Dyplomata"
UNIT_PIKEMEN					"Pikinierzy"
UNIT_CLERIC					"Duchowny"
UNIT_ABOLITIONIST				"Abolicjonista"
UNIT_CARRACK					"¯aglowiec"
UNIT_INFANTRYMAN				"Muszkieterowie"
UNIT_CAVALRY					"Kawaleria"
UNIT_FASCIST					"Faszysta"
UNIT_CANNON					"Dzia³o"
UNIT_SHIP_OF_THE_LINE				"Okrêt liniowy"
UNIT_SPY					"Szpieg"
UNIT_IRONCLAD					"Pancernik"
UNIT_MACHINE_GUNNER				"CKM-ista"
UNIT_ARTILLERY					"Artyleria"
UNIT_SUBMARINE					"£ódŸ podwodna"
UNIT_TROOP_SHIP					"Transportowiec"
UNIT_FRIGATE					"Kr¹¿ownik"
UNIT_DESTROYER					"Niszczyciel"
UNIT_TELEVANGELIST				"Telekaznodzieja"
UNIT_BATTLESHIP					"Okrêt wojenny"
UNIT_FIGHTER					"Myœliwiec"
UNIT_CORPORATE_BRANCH				"Agenci"
UNIT_LAWYER					"Prawnik"
UNIT_BOMBER					"Bombowiec"
UNIT_TANK					"Czo³g"
UNIT_CARGO_HELICOPTER				"Œmig³owiec transportowy"
UNIT_AIRCRAFT_CARRIER				"Lotniskowiec"
UNIT_MOBILE_SAM					"Katiusza"
UNIT_MARINE					"Marines"
UNIT_PARATROOPER				"Spadochroniarze"
UNIT_URBAN_PLANNER				"In¿ynier"
UNIT_Z_FREIGHT_TRANSPORT			"Ciê¿arówka"
UNIT_INTERCEPTOR				"Odrzutowiec"
UNIT_CRUISE_MISSILE				"Rakieta samosteruj¹ca"
UNIT_NUCLEAR_SUBMARINE				"Atom. ³ódŸ podwodna"
UNIT_NUKE					"Rakieta j¹drowa"
UNIT_STEALTH_FIGHTER				"Myœliwiec zamaskowany"
UNIT_STEALTH_BOMBER				"Bombowiec zamaskowany"
UNIT_SCOUT_SUB					"Zwiadowcza ³ódŸ podwodna"
UNIT_SPACE_PLANE				"Prom kosmiczny"
UNIT_SPY_PLANE					"Samolot szpiegowski"
UNIT_MOREY_STRIKER				"Zabójcza m¹twa"
UNIT_CYBERATTORNEY				"CyberAttorney"
UNIT_MOBILE_SUBNEURAL_AD			"Mobile	Subneural"
UNIT_HOVER_INFANTRY				"Powietrzna piechota"
UNIT_CYBER_NINJA				"Cyber Ninja"
UNIT_SEA_ENGINEER				"Morski in¿ynier"
UNIT_EMPATHIC_DIPLOMAT				"Dyplomata empatyczny"
UNIT_FUSION_TANK				"Czo³g fuzyjny"
UNIT_CRAWLER					"Pe³zacz"
UNIT_WAR_WALKER					"Robot wojenny"
UNIT_PLASMA_DESTROYER				"Niszczyciel plazmowy"
UNIT_LEVIATHON					"Lewiatan"
UNIT_KRAKEN					"Kraken"
UNIT_INFECTOR					"Bio-terrorysta"
UNIT_ECO_TERRORIST				"Eko-terrorysta"
UNIT_ECO_RANGER					"Eko-stra¿nik"
UNIT_DREADNAUGHT				"Podmorski niszczyciel"
UNIT_CITY					"Miasto"
UNIT_OCEAN_CITY					"Kolonia morska"
UNIT_SPACE_CITY					"Kolonia kosmiczna"
UNIT_ELEPHANT_WARRIOR				"Elephant Warrior"
UNIT_SCOUT					"Scout"
UNIT_LEGION					"Legion"
UNIT_GUERRILLA					"Guerrilla"
UNIT_SWORDSMAN					"Swordsman"
UNIT_PIRATE_SHIP				"Pirate Ship"
UNIT_TRADER					"Trader"
UNIT_LONGBOWMAN 				"Longbowman"

#### governs STRINGS ####
GOVERNMENT_ANARCHY				"Anarchia"
GOVERNMENT_TYRANNY				"Tyrania"
GOVERNMENT_MONARCHY				"Monarchia"
GOVERNMENT_THEOCRACY				"Teokracja"
GOVERNMENT_COMMUNISM				"Komunizm"
GOVERNMENT_FASCISM				"Faszyzm"
GOVERNMENT_REPUBLIC				"Republika"
GOVERNMENT_DEMOCRACY				"Demokracja"
GOVERNMENT_CORPORATE_REPUBLIC			"Pañstwo Korporacyjne"
GOVERNMENT_ECOTOPIA				"Utopia Ekologiczna"
GOVERNMENT_TECHNOCRACY				"Technokracja"
GOVERNMENT_VIRTUAL_DEMOCRACY			"Demokracja Wirtualna"


#### improvements STRINGS ####
IMPROVE_GRANARY					"Spichlerz"
IMPROVE_CITY_WALLS				"Mury obronne"
IMPROVE_SHRINE					"Œwi¹tynia"
IMPROVE_COURTHOUSE				"S¹d"
IMPROVE_BALLISTA_TOWERS				"Wie¿a obronna"
IMPROVE_AQUEDUCT				"Akwedukt"
IMPROVE_THEATER					"Teatr"
IMPROVE_BAZAAR					"Bazar"
IMPROVE_ACADEMY					"Akademia"
IMPROVE_ARENA					"Arena"
IMPROVE_CAPITOL					"Pa³ac"
IMPROVE_MILL					"M³yn"
IMPROVE_BASCILICA				"Bazylika"
IMPROVE_UNIVERSITY				"Uniwersytet"
IMPROVE_BANK					"Bank"
IMPROVE_PUBLISHING_HOUSE			"Biblioteka"
IMPROVE_BATTLEMENTS				"Wa³y obronne"
IMPROVE_BROKERAGE				"Gie³da"
IMPROVE_FOOD_SILO				"Silos na ¿ywnoœæ"
IMPROVE_FACTORY					"Fabryka"
IMPROVE_OIL_REFINERY				"Rafineria naftowa"
IMPROVE_MOVIE_PALACE				"Centrum rozrywki"
IMPROVE_DRUG_STORE				"Apteka"
IMPROVE_TELEVISION				"Telewizja"
IMPROVE_AIRPORT					"Lotnisko"
IMPROVE_CORRECTIONAL_FACILITY			"Zak³ad karny"
IMPROVE_HOSPITAL				"Szpital"
IMPROVE_FLAK_TOWERS				"Obrona przeciwlotnicza"
IMPROVE_COMPUTER_CENTER				"Centrum komputerowe"
IMPROVE_PUBLIC_TRANSPORTATION			"Transport publiczny"
IMPROVE_RECYCLING_PLANT				"Zak³ad przetwarz. odpadów"
IMPROVE_NUCLEAR_PLANT				"Elektrownia atomowa"
IMPROVE_ECO_TRANSIT				"Eko-transport"
IMPROVE_ANTI_BALLISTIC_MISSILES			"Obrona przeciwatomowa"
IMPROVE_ARCOLOGIES				"Arkologia"
IMPROVE_ORBITAL_LABORATORY			"Laboratorium orbitalne"
IMPROVE_ROBOTIC_PLANT				"Zak³ad przemys³owy"
IMPROVE_SECURITY_MONITOR			"System monitorowania"
IMPROVE_E_BANK					"E-Bank"
IMPROVE_VR_AMUSEMENT_PARK			"Park wirt. rozrywki"
IMPROVE_NANITE_FACTORY				"Nano-fabryka"
IMPROVE_FORCEFIELD				"Tarcza ochronna"
IMPROVE_AQUA_FILTER				"Oczyszczalnia wody"
IMPROVE_INCUBATION_CENTER			"Centrum inkubacji"
IMPROVE_FUSION_PLANT				"Elektrownia termojadrowa"
IMPROVE_BEHAVIORAL_MOD_CENTER			"Centrum modyfi. zachowania"
IMPROVE_CORNUCOPIC_VAT				"Centrum ¿ywieniowe"
IMPROVE_MICRO_DEFENSE				"Nano-obrona"
IMPROVE_MATTER_DECOMPILER			"Dezintegrator materii"
IMPROVE_BODY_EXCHANGE				"Centrum wymiany cia³" 
IMPROVE_GAIA_COMPUTER				"Rdzeñ kontrol. Gajañskiego"
IMPROVE_POWER_SATELLITE				"Orbit. elektro. Gajañska"


#### terrain STRINGS ####
TERRAIN_BROWN_MOUNTAIN				"Góry pustynne"
TERRAIN_BROWN_HILL				"Wydmy"
TERRAIN_WHITE_MOUNTAIN				"Góry polarne"
TERRAIN_WHITE_HILL				"Wzgórza polarne"
TERRAIN_MOUNTAIN				"Góry"
TERRAIN_DESERT					"Pustynia"
TERRAIN_FOREST					"Las"
TERRAIN_GLACIER					"Lodowiec"
TERRAIN_GRASSLAND				"Nizina"
TERRAIN_HILL					"Wzgórza"
TERRAIN_JUNGLE					"D¿ungla"
TERRAIN_PLAINS					"Równina"
TERRAIN_SWAMP					"Bagna"
TERRAIN_TUNDRA					"Tundra"
TERRAIN_WATER_SHALLOW				"P³ytka woda"
TERRAIN_WATER_DEEP				"G³êboka woda"
TERRAIN_WATER_RIFT				"Grzbiet podmorski"
TERRAIN_WATER_TRENCH				"Kanion podmorski"
TERRAIN_WATER_VOLCANO				"Wulkan podmorski"
TERRAIN_WATER_REEF				"Rafy koralowe"
TERRAIN_WATER_KELP				"£awice wodorostów"
TERRAIN_SPACE					"Space"
TERRAIN_WATER_BEACH				"Pla¿a"
TERRAIN_WATER_SHELF				"Szelf kontynentalny"
TERRAIN_DEAD					"Martwy segment"
TERRAIN_SPECIAL1				"Special"
TERRAIN_SPECIAL2				"Bridge"
#TERRAIN_DEAD_HILL				"Martwe wzgorza"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE		"Rubiny"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_TWO		"Diamenty"
TERRAIN_MOUNTAIN_GOOD_ONE			"Herbata"
TERRAIN_MOUNTAIN_GOOD_TWO			"Szmaragdy"
TERRAIN_DESERT_GOOD_TWO				"Ropa naftowa"
TERRAIN_DESERT_GOOD_ONE				"Szk³o"
TERRAIN_FOREST_GOOD_ONE				"Drewno"
TERRAIN_FOREST_GOOD_TWO				"NiedŸwiedzie"
TERRAIN_GLACIER_GOOD_ONE			"Mors"
TERRAIN_GRASSLAND_GOOD_ONE			"Bawe³na"
TERRAIN_GRASSLAND_GOOD_TWO			"Tytoñ"
TERRAIN_HILL_GOOD_ONE				"Kawa"
TERRAIN_HILL_GOOD_TWO				"Winna latoroœl"
TERRAIN_JUNGLE_GOOD_ONE				"Zio³a lecznicze"
TERRAIN_JUNGLE_GOOD_TWO				"Jaspis"
TERRAIN_PLAINS_GOOD_ONE				"Przyprawy"
TERRAIN_PLAINS_GOOD_TWO				"S³onie"
TERRAIN_SWAMP_GOOD_ONE				"Aligatory"
TERRAIN_TUNDRA_GOOD_ONE				"Karibu"
TERRAIN_WATER_SHALLOW_GOOD_ONE			"Kraby"
TERRAIN_WATER_SHALLOW_GOOD_TWO			"Perly"
TERRAIN_WATER_DEEP_GOOD_ONE			"Wieloryby"
TERRAIN_WATER_DEEP_GOOD_TWO			"Ka³amarnice"
TERRAIN_WATER_BEACH_GOOD_ONE			"Kraby"
TERRAIN_WATER_BEACH_GOOD_TWO			"Perly"
TERRAIN_WATER_SHELF_GOOD_ONE			"Kraby"
TERRAIN_WATER_SHELF_GOOD_TWO			"Perly"
TERRAIN_DUMMY_GOOD				"Dumb Good"

###Added for goodmod###   fix walrus, too many (actual these aren't used)

TERRAIN_ARCTIC_MOUNTAIN_GOOD_THREE		"Bauxite"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_FOUR		"Emeralds"
TERRAIN_MOUNTAIN_GOOD_THREE			"Coal"
TERRAIN_MOUNTAIN_GOOD_FOUR			"Gold"
TERRAIN_DESERT_GOOD_THREE			"Dates"
TERRAIN_DESERT_GOOD_FOUR			"Camels"
TERRAIN_FOREST_GOOD_THREE			"Mushrooms"
TERRAIN_FOREST_GOOD_FOUR			"Beavers"
TERRAIN_GLACIER_GOOD_TWO			"Mors"
TERRAIN_GLACIER_GOOD_THREE			"Seal"
TERRAIN_GLACIER_GOOD_FOUR			"Mors"
TERRAIN_GRASSLAND_GOOD_THREE			"Potatoes"
TERRAIN_GRASSLAND_GOOD_FOUR			"Poppies"
TERRAIN_HILL_GOOD_THREE				"Uranium"
TERRAIN_HILL_GOOD_FOUR				"Olives"
TERRAIN_JUNGLE_GOOD_THREE			"Bananas"
TERRAIN_JUNGLE_GOOD_FOUR			"Sugar"
TERRAIN_PLAINS_GOOD_THREE			"Wheat"
TERRAIN_PLAINS_GOOD_FOUR			"Buffalo"
TERRAIN_SWAMP_GOOD_TWO				"Rice"
TERRAIN_SWAMP_GOOD_THREE			"Chilli"
TERRAIN_SWAMP_GOOD_FOUR				"Peat"
TERRAIN_TUNDRA_GOOD_TWO				"Oil"
TERRAIN_TUNDRA_GOOD_THREE			"Caribou"
TERRAIN_TUNDRA_GOOD_FOUR			"Caribou"
TERRAIN_WATER_SHALLOW_GOOD_THREE		"Fish"
TERRAIN_WATER_SHALLOW_GOOD_FOUR			"Lobster"
TERRAIN_WATER_DEEP_GOOD_THREE			"Tuna"
TERRAIN_WATER_DEEP_GOOD_FOUR			"Giant Squid"
TERRAIN_WATER_BEACH_GOOD_THREE			"Dye"
TERRAIN_WATER_BEACH_GOOD_FOUR			"Pearls"
TERRAIN_WATER_SHELF_GOOD_THREE			"Crabs"
TERRAIN_WATER_SHELF_GOOD_FOUR			"Turtle"
#TERRAIN_DUMMY_GOOD				"Dumb Good"
TERRAIN_BROWN_HILL_GOOD_ONE			"Copper"
TERRAIN_BROWN_HILL_GOOD_TWO			"Silver"
TERRAIN_BROWN_HILL_GOOD_THREE			"Camels"
TERRAIN_BROWN_HILL_GOOD_FOUR			"Camels"
TERRAIN_BROWN_MOUNTAIN_GOOD_ONE			"Iron Ore"
TERRAIN_BROWN_MOUNTAIN_GOOD_TWO			"Silver"
TERRAIN_BROWN_MOUNTAIN_GOOD_THREE		"Iron Ore"
TERRAIN_BROWN_MOUNTAIN_GOOD_FOUR		"Silver"
TERRAIN_WHITE_HILL_GOOD_ONE			"Sapphires"
TERRAIN_WHITE_HILL_GOOD_TWO			"Emeralds"
TERRAIN_WHITE_HILL_GOOD_THREE			"Sapphires"
TERRAIN_WHITE_HILL_GOOD_FOUR			"Emeralds"

#### CONCEPT STRINGS ####
#CONCEPT_DIAMONDS				"Diamonds"
#CONCEPT_RUBIES					"Rubies"
#CONCEPT_OIL					"Oil"
#CONCEPT_BEAVER					"Beaver"
#CONCEPT_TOBACCO				"Tobacco"
#CONCEPT_POPPIES				"Poppies"
#CONCEPT_COFFEE					"Coffee"
#CONCEPT_COCOA					"Grapes"
#CONCEPT_SUGAR					"Sugar"
#CONCEPT_JADE					"Jade"
#CONCEPT_ELEPHANT				"Elephant"
#CONCEPT_ALLIGATOR				"Alligator"
#CONCEPT_CARIBOU				"Caribou"
#CONCEPT_CRABS					"Crab"
#CONCEPT_PEARLS					"Pearls"
#CONCEPT_WHALES					"Whale"
#CONCEPT_GIANT_SQUID				"Giant Squid"
#CONCEPT_WORMHOLE				"Wormhole"
#CONCEPT_ATTACK_ENEMY				"Attack Enemy"
#CONCEPT_CAPTURE_CITY				"000"
#CONCEPT_CEASE_FIRE				"Peace Treaty"
#CONCEPT_CIV_POINTS				"Civilization Points"
#CONCEPT_C_FIELD				"Containment Field"
#CONCEPT_DEMANDS				"Demand"
#CONCEPT_ECD					"ECD"
#CONCEPT_ECO_PACT				"Eco Pact"
#CONCEPT_ENTERTAINER				"Entertainer"
#CONCEPT_EXCHANGES				"Exchange"
#CONCEPT_E_TANK					"Embyro Tank"
#CONCEPT_GIFTS					"Gifts"
#CONCEPT_G_SPLICER				"Gene Splicer"
#CONCEPT_INCITE					"Incite"
#CONCEPT_LARORER				"Laborer"
#CONCEPT_LEAVE_MY_LANDS				"Stop Trespass"
#CONCEPT_MAINTENANCE_COST			"Maintenance Cost"
#CONCEPT_MERCHANT				"Merchant"
#CONCEPT_MONUMENT_SCREEN			"Monument Screen"
