#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (English)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin G¸hmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin G¸hmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"V˝roba N·stroju"
ADVANCE_CLASSICAL_EDUCATION			"KlasickÈ Vzdel·nÌ"
ADVANCE_BANKING					"BankovnictvÌ"
ADVANCE_OCEAN_FARING				"Vzd·lenÈ Oce·ny"
ADVANCE_PRINTING_PRESS				"TiskarstvÌ"
ADVANCE_GUNPOWDER				"Streln˝ Prah"
ADVANCE_CAVALRY_TACTICS				"Taktika JÌzdy"
ADVANCE_OPTICS					"Optika"
ADVANCE_FASCISM					"Fasisums"
ADVANCE_CANNON_MAKING				"V˝roba Del"
ADVANCE_CHEMISTRY				"Chemie"
ADVANCE_AGE_OF_REASON				"Doba Logiky"
ADVANCE_NAVAL_TACTICS				"N·mornÌ taktika"
ADVANCE_PHYSICS					"Psychika"
ADVANCE_DEMOCRACY				"Demokracie"
ADVANCE_NATIONALISM				"Nacionalismus"
ADVANCE_MODERN_METALLURGY			"ModernÌ HutnictvÌ"
ADVANCE_ECONOMICS				"Ekonimika"
ADVANCE_RAILROAD				"Zeleznice"
ADVANCE_INDUSTRIAL_REVOLUTION			"Prumyslov· Revoluce"
ADVANCE_COMMUNISM				"Komunismus"
ADVANCE_EXPLOSIVES				"V˝businy"
ADVANCE_OIL_REFINING				"Tezba Ropy"
ADVANCE_ELECTRICITY				"Elektrina"
ADVANCE_PHARMACEUTICALS				"FarmaceutickÈ"
ADVANCE_INTERNAL_COMBUSTION			"VnitrnÌ SamovznÌcenÌ"
ADVANCE_MASS_PRODUCTION				"Hromadn· Produkce"
ADVANCE_MASS_MEDIA				"Mass MÈdia"
ADVANCE_ADV_NAVAL_TACTICS			"Pokr. N·mornÌ Taktika"
ADVANCE_AERODYNAMICS				"Aerodynamika"
ADVANCE_CORPORATION				"Korporace"
ADVANCE_CRIMINAL_CODE				"TrestnÌ Z·konÌk"
ADVANCE_JET_PROPULSION				"Tryskov˝ pohon"
ADVANCE_TANK_WARFARE				"Bojov˝ Tank"
ADVANCE_MEDICINE				"ModernÌ MedicÌna"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"Letadlo se svisl˝m vzletem"
ADVANCE_NAVAL_AVIATION				"N·monÌ Letectvo"
ADVANCE_RADAR					"Radar"
ADVANCE_QUANTUM_MECHANICS			"Kvantov· Fyzika"
ADVANCE_CORPORATE_REPUBLIC			"Korpor·tnÌ republika"
ADVANCE_GLOBAL_ECONOMICS			"Globalizace Ekonomiky"
ADVANCE_COMPUTER				"PocÌtac"
ADVANCE_MASS_TRANSIT				"Hromadn· doprava"
ADVANCE_ADV_INFANTRY_TACTICS			"PokroËil· taktika pÏchoty"
ADVANCE_ADV_URBAN_PLANNING			"PokroËilÈ ˙zemnÌ pl·nov·nÌ"
ADVANCE_SUPERSONIC_FLIGHT			"Nadzvukov˝ let"
ADVANCE_CONSERVATION				"Ochrana p¯Ìrody"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"Nav·dÏnÈ zbraÚovÈ systÈmy"
ADVANCE_GLOBAL_DEFENSE				"Glob·lnÌ obrana"
ADVANCE_NUCLEAR_POWER				"Jadern· energie"
ADVANCE_FUEL_CELLS				"PalivovÈ Ël·nky"
ADVANCE_ADVANCED_COMPOSITES			"PokroËilÈ kompozity"
ADVANCE_GLOBAL_COMMUNICATIONS			"Glob·lnÌ komunikace"
ADVANCE_ARCOLOGIES				"Arkologie"
ADVANCE_LIQUID_BREATHING_APPARATUS		"KapalinovÈ d˝ch·nÌ"
ADVANCE_SPACE_FLIGHT				"VesmÌrn˝ let"
ADVANCE_HT_SUPERCONDUCTOR			"SupravodiË"
ADVANCE_ROBOTICS				"Robotika"
ADVANCE_AI_SURVEILLANCE				"AI dohled"
ADVANCE_GENETICS				"Genetika"
ADVANCE_TECHNOCRACY				"Technokracie"
ADVANCE_DIGITAL_ENCRYPTION			"Digit·lnÌ öifrov·nÌ"
ADVANCE_SUBNEURAL_ADS				"Subneur·lnÌ reklama"
ADVANCE_CHAOS_THEORY				"Teorie chaosu"
ADVANCE_NEURAL_INTERFACE			"Neur·lnÌ rozhranÌ"
ADVANCE_NANO_ASSEMBLY				"Nanomont·û"
ADVANCE_EUGENICS				"Genov· terapie"
ADVANCE_UNIFIED_PHYSICS				"Sjednocen· fyzika"
ADVANCE_NANO_MACHINES				"Nanostroje"
ADVANCE_HUMAN_CLONING				"Klonov·nÌ lidÌ"
ADVANCE_FUSION					"F˙ze"
ADVANCE_ULTRAPRESSURE_MACHINERY			"Stroje s ultratlakem"
ADVANCE_CYBERNETICS				"Kybernetika"
ADVANCE_NEURAL_REPROGRAMMING			"Neur·lnÌ p¯eprogramov·nÌ"
ADVANCE_PLASMA_WEAPONRY				"PlazmovÈ zbranÏ"
ADVANCE_VIRTUAL_DEMOCRACY			"Virtu·lnÌ demokracie"
ADVANCE_GENETIC_TAILORING			"GenetickÈ ˙pravy"
ADVANCE_NANO_WARFARE				"Nanov·lËenÌ"
ADVANCE_ECOTOPIA				"Ekotopie"
ADVANCE_GAIA_THEORY				"Teorie Gaii"
ADVANCE_LIFE_EXTENSION				"ProdlouûenÌ ûivota"
ADVANCE_SMART_MATERIALS				"ChytrÈ materi·ly"
ADVANCE_GAIA_CONTROLLER				"Gaia Controller"


#### WONDER STRINGS ####
WONDER_PYRAMIDS					"Pyramidy"
WONDER_RAMAYANA					"Ramayana"
WONDER_GREAT_WALL				"Velk· Zed"
WONDER_THE_APPIAN_WAY				"Via Appia"
WONDER_CHICHEN_ITZA				"ChichÈn Itz·"
WONDER_CENTRAL_MATTER_DECOMPILER		"Centr·lnÌ dekompil·tor hmoty"
WONDER_THE_FORBIDDEN_CITY			"Zak·zanÈ mÏsto"
WONDER_ARISTOTLES_LYCEUM			"Aristotelovo lyceum"
WONDER_HAGIA_SOPHIA				"Hagia Sophia"
WONDER_GUTTENBERGS_BIBLE			"Gutenbergova bible"
WONDER_EAST_INDIA_COMPANY			"V˝chodoindick· Spolecnost"
WONDER_GALILEOS_TELESCOPE			"Galileuv Teleskop"
WONDER_EMANCIPATION_PROCLAMATION		"Emancipace"
WONDER_PENICILLIN				"PenicilÌn"
WONDER_LONDON_EXCHANGE				"Lond˝nsk· Burza"
WONDER_EMPIRE_STATE_BUILDING			"Empire State Building"
WONDER_HOLLYWOOD				"Hollywood"
WONDER_INTERNET					"Internet"
WONDER_THE_AGENCY				"Agentura"
WONDER_GLOBESAT					"GlobeSat"
WONDER_FIELD_DYNAMICS_LABORATORY		"Laborato¯ dynamiky polÌ"
WONDER_DATA_HAVEN				"DatovÈ ˙toËiötÏ"
WONDER_GENOME_PROJECT				"Projekt genomu"
WONDER_GLOBAL_SURVEILLANCE_CENTER		"Centrum svÏtovÈho mÌru"
WONDER_NANITE_DEFUSER				"Deaktiv·tor nanit˘"
WONDER_NATIONAL_SHIELD				"N·rodnÌ ötÌt"
WONDER_EGALITARIAN_ACT				"Z·kon o rovnosti"
WONDER_THE_EDEN_PROJECT				"Projekt Eden"
WONDER_THE_SOLARIS_PROJECT			"Projekt Solaris"
WONDER_ZERO_CRIME_BILL				"Z·kon o nulovÈ kriminalitÏ"

WONDER_PYRAMIDS_ARTICLE				""
WONDER_RAMAYANA_ARTICLE				""
WONDER_GREAT_WALL_ARTICLE			""
WONDER_THE_APPIAN_WAY_ARTICLE			""
WONDER_CHICHEN_ITZA_ARTICLE			""
WONDER_CENTRAL_MATTER_DECOMPILER_ARTICLE	""
WONDER_THE_FORBIDDEN_CITY_ARTICLE		""
WONDER_ARISTOTLES_LYCEUM_ARTICLE		""
WONDER_HAGIA_SOPHIA_ARTICLE			""
WONDER_GUTTENBERGS_BIBLE_ARTICLE		""
WONDER_EAST_INDIA_COMPANY_ARTICLE		""
WONDER_GALILEOS_TELESCOPE_ARTICLE		""
WONDER_EMANCIPATION_PROCLAMATION_ARTICLE	""
WONDER_PENICILLIN_ARTICLE			""
WONDER_LONDON_EXCHANGE_ARTICLE			""
WONDER_EMPIRE_STATE_BUILDING_ARTICLE		""
WONDER_HOLLYWOOD_ARTICLE			""
WONDER_INTERNET_ARTICLE				""
WONDER_THE_AGENCY_ARTICLE			""
WONDER_GLOBESAT_ARTICLE				""
WONDER_FIELD_DYNAMICS_LABORATORY_ARTICLE	""
WONDER_DATA_HAVEN_ARTICLE			""
WONDER_GENOME_PROJECT_ARTICLE			""
WONDER_GLOBAL_SURVEILLANCE_CENTER_ARTICLE	""
WONDER_NANITE_DEFUSER_ARTICLE			""
WONDER_NATIONAL_SHIELD_ARTICLE			""
WONDER_EGALITARIAN_ACT_ARTICLE			""
WONDER_THE_EDEN_PROJECT_ARTICLE			""
WONDER_THE_SOLARIS_PROJECT_ARTICLE		""
WONDER_ZERO_CRIME_BILL_ARTICLE			""


#### Units STRINGS ####
UNIT_SETTLER					"OsadnÌk"
UNIT_WARRIOR					"BojovnÌk"
UNIT_CATAMARAN					"Veslice"
UNIT_HOPLITE					"KopÌjnÌk"
UNIT_ARCHER					"LucisnÌk"
UNIT_SLAVER					"Otrok·r"
UNIT_SWORDSMAN					"Samurai"
UNIT_MOUNTED_ARCHER				"JÌzdnÌ LucisnÌkr"
UNIT_CARAVAN					"Karavana"
UNIT_FIRE_TRIREME				"Bojov· Trojveslice"
UNIT_KNIGHT					"RytÌr"
UNIT_CATAPULT					"Katapult"
UNIT_LONGSHIP					"Dlouh· Lod"
UNIT_DIPLOMAT					"Diplomat"
UNIT_PIKEMEN					"KopinÌci"
UNIT_CLERIC					"Mnich"
UNIT_ABOLITIONIST				"Abolicionista"
UNIT_CARRACK					"Karaka"
UNIT_INFANTRYMAN				"Pechota"
UNIT_CAVALRY					"Kavalerie"
UNIT_FASCIST					"FasiscistÌ"
UNIT_CANNON					"KanÛn"
UNIT_SHIP_OF_THE_LINE				"ÿadov· loÔ"
UNIT_SPY					"SpiÛn"
UNIT_IRONCLAD					"ObrnÏnec"
UNIT_MACHINE_GUNNER				"KulometËÌk"
UNIT_ARTILLERY					"DÏlost¯electvo"
UNIT_SUBMARINE					"Ponorka"
UNIT_TROOP_SHIP					"TransportnÌ loÔ"
UNIT_FRIGATE					"TorpÈdov˝ Ëlun"
UNIT_DESTROYER					"TorpÈdoborec"
UNIT_TELEVANGELIST				"Televangelista"
UNIT_BATTLESHIP					"BitevnÌ loÔ"
UNIT_FIGHTER					"StÌhaËka"
UNIT_CORPORATE_BRANCH				"FiremnÌ poboËka"
UNIT_LAWYER					"Pr·vnÌk"
UNIT_BOMBER					"BombardÈr"
UNIT_TANK					"Tank"
UNIT_CARGO_HELICOPTER				"N·kladnÌ vrtulnÌk"
UNIT_AIRCRAFT_CARRIER				"Letadlov· loÔ"
UNIT_MOBILE_SAM					"MobilnÌ protiletadlov˝ systÈm"
UNIT_MARINE					"MariÚ·k"
UNIT_PARATROOPER				"V˝sadk·¯"
UNIT_URBAN_PLANNER				"⁄zemnÌ pl·novaË"
UNIT_Z_FREIGHT_TRANSPORT			"N·kladnÌ doprava"
UNIT_INTERCEPTOR				"StÌhaË"
UNIT_CRUISE_MISSILE				"ÿÌzen· st¯ela"
UNIT_NUCLEAR_SUBMARINE				"Jadern· ponorka"
UNIT_NUKE					"Jadern· bomba"
UNIT_STEALTH_FIGHTER				"Neviditeln· stÌhaËka"
UNIT_STEALTH_BOMBER				"Neviditeln˝ bombardÈr"
UNIT_SCOUT_SUB					"Pr˘zkumn· ponorka"
UNIT_SPACE_PLANE				"VesmÌrnÈ letadlo"
UNIT_SPY_PLANE					"äpion·ûnÌ letadlo"
UNIT_MOREY_STRIKER				"⁄toËnÌk MurÈna"
UNIT_CYBERATTORNEY				"Kyberpr·vnÌk"
UNIT_MOBILE_SUBNEURAL_AD			"MobilnÌ subneur·lnÌ reklama"
UNIT_HOVER_INFANTRY				"Vzn·öejÌcÌ se pÏchota"
UNIT_CYBER_NINJA				"Kybernindûa"
UNIT_SEA_ENGINEER				"Mo¯sk˝ inûen˝r"
UNIT_EMPATHIC_DIPLOMAT				"Empatick˝ diplomat"
UNIT_FUSION_TANK				"F˙znÌ tank"
UNIT_CRAWLER					"Plazivec"
UNIT_WAR_WALKER					"V·leËn˝ kr·Ëitel"
UNIT_PLASMA_DESTROYER				"Plazmov˝ torpÈdoborec"
UNIT_LEVIATHON					"Leviatan"
UNIT_KRAKEN					"Kraken"
UNIT_INFECTOR					"Infik·tor"
UNIT_ECO_TERRORIST				"Ekoterorista"
UNIT_ECO_RANGER					"Ekostr·ûce"
UNIT_DREADNAUGHT				"Dreadnought"
UNIT_CITY					"MÏsto"
UNIT_OCEAN_CITY					"Mo¯sk· kolonie"
UNIT_SPACE_CITY					"VesmÌrn· kolonie"
UNIT_ELEPHANT_WARRIOR				"BojovnÌk na slonu"
UNIT_SCOUT					"Pr˘zkumnÌk"
UNIT_LEGION					"Legie"
UNIT_GUERRILLA					"Partyz·n"
UNIT_SWORDSMAN					"äermÌ¯"
UNIT_PIRATE_SHIP				"Pir·tsk· loÔ"
UNIT_TRADER					"ObchodnÌk"
UNIT_LONGBOWMAN 				"LuËiötnÌk s dlouh˝m lukem"

#### governs STRINGS ####
GOVERNMENT_ANARCHY				"Anarchie"
GOVERNMENT_TYRANNY				"Tyranie"
GOVERNMENT_MONARCHY				"Monarchie"
GOVERNMENT_THEOCRACY				"Teokracie"
GOVERNMENT_COMMUNISM				"Komunismus"
GOVERNMENT_FASCISM				"Fasismus"
GOVERNMENT_REPUBLIC				"Republika"
GOVERNMENT_DEMOCRACY				"Demokracie"
GOVERNMENT_CORPORATE_REPUBLIC			"Korpor·tnÌ republika"
GOVERNMENT_ECOTOPIA				"Ekotopie"
GOVERNMENT_TECHNOCRACY				"Technokracie"
GOVERNMENT_VIRTUAL_DEMOCRACY			"Virtu·lnÌ demokracie"


#### improvements STRINGS ####
IMPROVE_GRANARY					"S˝pka"
IMPROVE_CITY_WALLS				"MestskÈ Hrady"
IMPROVE_SHRINE					"Svatyne"
IMPROVE_COURTHOUSE				"Soud"
IMPROVE_BALLISTA_TOWERS				"Balistick· Vez"
IMPROVE_AQUEDUCT				"Akvaduktt"
IMPROVE_THEATER					"Divadlo"
IMPROVE_BAZAAR					"Bazar"
IMPROVE_ACADEMY					"Akademie"
IMPROVE_ARENA					"Arena"
IMPROVE_CAPITOL					"Kapitol"
IMPROVE_MILL					"Ml˝n"
IMPROVE_BASCILICA				"Bazilika"
IMPROVE_UNIVERSITY				"Univerzita"
IMPROVE_BANK					"Banka"
IMPROVE_PUBLISHING_HOUSE			"NakladatelstvÌ"
IMPROVE_BATTLEMENTS				"Cimbu¯Ì"
IMPROVE_BROKERAGE				"MaklÈ¯sk· kancel·¯"
IMPROVE_FOOD_SILO				"ObilnÈ silo"
IMPROVE_FACTORY					"Tov·rna"
IMPROVE_OIL_REFINERY				"Ropn· rafinerie"
IMPROVE_MOVIE_PALACE				"Filmov˝ pal·c"
IMPROVE_DRUG_STORE				"LÈk·rna"
IMPROVE_TELEVISION				"Televize"
IMPROVE_AIRPORT					"LetiötÏ"
IMPROVE_CORRECTIONAL_FACILITY			"N·pravnÈ za¯ÌzenÌ"
IMPROVE_HOSPITAL				"Nemocnice"
IMPROVE_FLAK_TOWERS				"ProtiletadlovÈ vÏûe"
IMPROVE_COMPUTER_CENTER				"PoËÌtaËovÈ centrum"
IMPROVE_PUBLIC_TRANSPORTATION			"Ve¯ejn· doprava"
IMPROVE_RECYCLING_PLANT				"RecyklaËnÌ z·vod"
IMPROVE_NUCLEAR_PLANT				"Jadern· elektr·rna"
IMPROVE_ECO_TRANSIT				"Ekodoprava"
IMPROVE_ANTI_BALLISTIC_MISSILES			"Protiraketov· obrana"
IMPROVE_ARCOLOGIES				"Arkologie"
IMPROVE_ORBITAL_LABORATORY			"Orbit·lnÌ laborato¯"
IMPROVE_ROBOTIC_PLANT				"Robotick· tov·rna"
IMPROVE_SECURITY_MONITOR			"BezpeËnostnÌ monitor"
IMPROVE_E_BANK					"E-Banka"
IMPROVE_VR_AMUSEMENT_PARK			"VR z·bavnÌ park"
IMPROVE_NANITE_FACTORY				"Nanitov· tov·rna"
IMPROVE_FORCEFIELD				"SilovÈ pole"
IMPROVE_AQUA_FILTER				"VodnÌ filtr"
IMPROVE_INCUBATION_CENTER			"InkubaËnÌ centrum"
IMPROVE_FUSION_PLANT				"F˙znÌ elektr·rna"
IMPROVE_BEHAVIORAL_MOD_CENTER			"Centrum ˙pravy chov·nÌ"
IMPROVE_CORNUCOPIC_VAT				"N·drûe hojnosti"
IMPROVE_MICRO_DEFENSE				"Mikroobrana"
IMPROVE_MATTER_DECOMPILER			"Dekompil·tor hmoty"
IMPROVE_BODY_EXCHANGE				"V˝mÏna tÏl"
IMPROVE_GAIA_COMPUTER				"J·dro Gaia Controlleru"
IMPROVE_POWER_SATELLITE				"Energetick˝ satelit Gaia"


#### terrain STRINGS ####
TERRAIN_BROWN_MOUNTAIN				"PoustnÌ PohorÌ"
TERRAIN_BROWN_HILL				"PÌsecnÈ Duny"
TERRAIN_WHITE_MOUNTAIN				"Pol·rnÌ PohorÌ"
TERRAIN_WHITE_HILL				"Pol·rnÌ Kopce"
TERRAIN_MOUNTAIN				"PohorÌ"
TERRAIN_DESERT					"Poust"
TERRAIN_FOREST					"Les"
TERRAIN_GLACIER					"ledovce"
TERRAIN_GRASSLAND				"Louky "
TERRAIN_HILL					"Kopce"
TERRAIN_JUNGLE					"Dzungle"
TERRAIN_PLAINS					"Pl·ne"
TERRAIN_SWAMP					"Baziny"
TERRAIN_TUNDRA					"Tundra"
TERRAIN_WATER_SHALLOW				"MÏlk· voda"
TERRAIN_WATER_DEEP				"Hlubok· voda"
TERRAIN_WATER_RIFT				"Podmo¯sk˝ h¯bet"
TERRAIN_WATER_TRENCH				"Podmo¯sk˝ kaÚon"
TERRAIN_WATER_VOLCANO				"Podmo¯sk· sopka"
TERRAIN_WATER_REEF				"Kor·lov˝ ˙tes"
TERRAIN_WATER_KELP				"Chaluhov˝ porost"
TERRAIN_SPACE					"VesmÌr"
TERRAIN_WATER_BEACH				"Pl·û"
TERRAIN_WATER_SHELF				"Kontinent·lnÌ öelf"
TERRAIN_DEAD					"MrtvÈ polÌËko"
TERRAIN_SPECIAL1				"Speci·lnÌ"
TERRAIN_SPECIAL2				"Most"
#TERRAIN_DEAD_HILL				"Dead Hill"

TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE		"RubÌny"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_TWO		"Diamanty"
TERRAIN_MOUNTAIN_GOOD_ONE			"»aj"
TERRAIN_MOUNTAIN_GOOD_TWO			"Smaragdy"
TERRAIN_DESERT_GOOD_ONE				"Sklo"
TERRAIN_DESERT_GOOD_TWO				"Ropa"
TERRAIN_FOREST_GOOD_ONE				"TvrdÈ d¯evo"
TERRAIN_FOREST_GOOD_TWO				"MedvÏd"
TERRAIN_GLACIER_GOOD_ONE			"Mroû"
TERRAIN_GRASSLAND_GOOD_ONE			"Bavlna"
TERRAIN_GRASSLAND_GOOD_TWO			"Tab·k"
TERRAIN_HILL_GOOD_ONE				"K·va"
TERRAIN_HILL_GOOD_TWO				"Hrozny"
TERRAIN_JUNGLE_GOOD_ONE				"LÈËivÈ byliny"
TERRAIN_JUNGLE_GOOD_TWO				"Nefrit"
TERRAIN_PLAINS_GOOD_ONE				"Ko¯enÌ"
TERRAIN_PLAINS_GOOD_TWO				"Slon"
TERRAIN_SWAMP_GOOD_ONE				"Alig·tor"
TERRAIN_TUNDRA_GOOD_ONE				"Sob"
TERRAIN_WATER_SHALLOW_GOOD_ONE			"Krab"
TERRAIN_WATER_SHALLOW_GOOD_TWO			"Perly"
TERRAIN_WATER_DEEP_GOOD_ONE			"Velryba"
TERRAIN_WATER_DEEP_GOOD_TWO			"Ob¯Ì oliheÚ"
TERRAIN_WATER_BEACH_GOOD_ONE			"Krab"
TERRAIN_WATER_BEACH_GOOD_TWO			"Perly"
TERRAIN_WATER_SHELF_GOOD_ONE			"Krab"
TERRAIN_WATER_SHELF_GOOD_TWO			"Perly"
TERRAIN_DUMMY_GOOD				"Neplatn· surovina"

###Added for goodmod###   fix walrus, too many (actual these aren't used)

TERRAIN_ARCTIC_MOUNTAIN_GOOD_THREE		"Bauxit"
TERRAIN_ARCTIC_MOUNTAIN_GOOD_FOUR		"Smaragdy"
TERRAIN_MOUNTAIN_GOOD_THREE			"UhlÌ"
TERRAIN_MOUNTAIN_GOOD_FOUR			"Zlato"
TERRAIN_DESERT_GOOD_THREE			"Datle"
TERRAIN_DESERT_GOOD_FOUR			"Velbloudi"
TERRAIN_FOREST_GOOD_THREE			"Houby"
TERRAIN_FOREST_GOOD_FOUR			"Bob¯i"
TERRAIN_GLACIER_GOOD_TWO			"Mroû"
TERRAIN_GLACIER_GOOD_THREE			"TuleÚ"
TERRAIN_GLACIER_GOOD_FOUR			"Mroû"
TERRAIN_GRASSLAND_GOOD_THREE			"Brambory"
TERRAIN_GRASSLAND_GOOD_FOUR			"M·ky"
TERRAIN_HILL_GOOD_THREE				"Uran"
TERRAIN_HILL_GOOD_FOUR				"Olivy"
TERRAIN_JUNGLE_GOOD_THREE			"Ban·ny"
TERRAIN_JUNGLE_GOOD_FOUR			"Cukr"
TERRAIN_PLAINS_GOOD_THREE			"Pöenice"
TERRAIN_PLAINS_GOOD_FOUR			"Buvol"
TERRAIN_SWAMP_GOOD_TWO				"R˝ûe"
TERRAIN_SWAMP_GOOD_THREE			"Chilli papriËky"
TERRAIN_SWAMP_GOOD_FOUR				"Raöelina"
TERRAIN_TUNDRA_GOOD_TWO				"Ropa"
TERRAIN_TUNDRA_GOOD_THREE			"Sob"
TERRAIN_TUNDRA_GOOD_FOUR			"Sob"
TERRAIN_WATER_SHALLOW_GOOD_THREE		"Ryby"
TERRAIN_WATER_SHALLOW_GOOD_FOUR			"Humr"
TERRAIN_WATER_DEEP_GOOD_THREE			"TuÚ·k"
TERRAIN_WATER_DEEP_GOOD_FOUR			"Ob¯Ì oliheÚ"
TERRAIN_WATER_BEACH_GOOD_THREE			"Barvivo"
TERRAIN_WATER_BEACH_GOOD_FOUR			"Perly"
TERRAIN_WATER_SHELF_GOOD_THREE			"Krabi"
TERRAIN_WATER_SHELF_GOOD_FOUR			"éelva"
#TERRAIN_DUMMY_GOOD				"Dumb Good"
TERRAIN_BROWN_HILL_GOOD_ONE			"MÏÔ"
TERRAIN_BROWN_HILL_GOOD_TWO			"St¯Ìbro"
TERRAIN_BROWN_HILL_GOOD_THREE			"Velbloudi"
TERRAIN_BROWN_HILL_GOOD_FOUR			"Velbloudi"
TERRAIN_BROWN_MOUNTAIN_GOOD_ONE			"éelezn· ruda"
TERRAIN_BROWN_MOUNTAIN_GOOD_TWO			"St¯Ìbro"
TERRAIN_BROWN_MOUNTAIN_GOOD_THREE		"éelezn· ruda"
TERRAIN_BROWN_MOUNTAIN_GOOD_FOUR		"St¯Ìbro"
TERRAIN_WHITE_HILL_GOOD_ONE			"SafÌry"
TERRAIN_WHITE_HILL_GOOD_TWO			"Smaragdy"
TERRAIN_WHITE_HILL_GOOD_THREE			"SafÌry"
TERRAIN_WHITE_HILL_GOOD_FOUR			"Smaragdy"

#### CONCEPT STRINGS ####
#CONCEPT_DIAMONDS				"Diamanty"
#CONCEPT_RUBIES					"RubÌny"
#CONCEPT_OIL					"Ropa"
#CONCEPT_BEAVER					"Bobr"
#CONCEPT_TOBACCO				"Tab·k"
#CONCEPT_POPPIES				"M·k"
#CONCEPT_COFFEE					"K·va"
#CONCEPT_COCOA					"Grapes"
#CONCEPT_SUGAR					"Cukr"
#CONCEPT_JADE					"Jade"
#CONCEPT_ELEPHANT				"Slon"
#CONCEPT_ALLIGATOR				"Alligator"
#CONCEPT_CARIBOU				"Caribou"
#CONCEPT_CRABS					"Crab"
#CONCEPT_PEARLS					"Pearls"
#CONCEPT_WHALES					"Whale"
